PKEY,YEAR,STATE,TYPEOFPRODUCER,ENERGYSOURCE,C02,S02,N0X
2403,1992,GA,TOTAL ELECTRIC POWER INDUSTRY,OTHER,29937,30120,8711
2404,1992,GA,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,2194461,4093,3308
2405,1992,HI,ELECTRIC UTILITY,ALL SOURCES,5804195,20441,8566
2406,1992,HI,ELECTRIC UTILITY,PETROLEUM,5804195,20441,8566
2407,1992,HI,INDUSTRIAL COGEN,ALL SOURCES,394029,1423,997
2408,1992,HI,INDUSTRIAL COGEN,COAL,81327,654,378
2409,1992,HI,INDUSTRIAL COGEN,OTHER,0,0,1
2410,1992,HI,INDUSTRIAL COGEN,PETROLEUM,312702,770,618
2411,1992,HI,IPP NAICS-22 COGEN,ALL SOURCES,1384093,6300,3266
2412,1992,HI,IPP NAICS-22 COGEN,COAL,521824,1225,2000
2413,1992,HI,IPP NAICS-22 COGEN,PETROLEUM,862269,5076,1266
2414,1992,HI,IPP NAICS-22 NON-COGEN,ALL SOURCES,252949,56,692
2415,1992,HI,IPP NAICS-22 NON-COGEN,GEOTHERMAL,55,0,0
2416,1992,HI,IPP NAICS-22 NON-COGEN,OTHER,252894,47,679
2417,1992,HI,IPP NAICS-22 NON-COGEN,PETROLEUM,0,9,14
2418,1992,HI,TOTAL ELECTRIC POWER INDUSTRY,ALL SOURCES,7835266,28221,13521
2419,1992,HI,TOTAL ELECTRIC POWER INDUSTRY,COAL,603151,1878,2378
2420,1992,HI,TOTAL ELECTRIC POWER INDUSTRY,GEOTHERMAL,55,0,0
2421,1992,HI,TOTAL ELECTRIC POWER INDUSTRY,OTHER,252894,47,679
2422,1992,HI,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,6979166,26296,10463
2423,1992,IA,COMMERCIAL COGEN,ALL SOURCES,82844,267,321
2424,1992,IA,COMMERCIAL COGEN,COAL,72082,215,299
2425,1992,IA,COMMERCIAL COGEN,NATURAL GAS,2589,0,6
2426,1992,IA,COMMERCIAL COGEN,PETROLEUM,8173,52,15
2427,1992,IA,COMMERCIAL NON-COGEN,ALL SOURCES,28,0,0
2428,1992,IA,COMMERCIAL NON-COGEN,NATURAL GAS,28,0,0
2429,1992,IA,ELECTRIC UTILITY,ALL SOURCES,26394118,157578,135032
2430,1992,IA,ELECTRIC UTILITY,COAL,26235046,157450,134604
2431,1992,IA,ELECTRIC UTILITY,NATURAL GAS,120736,0,354
2432,1992,IA,ELECTRIC UTILITY,OTHER,0,57,53
2433,1992,IA,ELECTRIC UTILITY,PETROLEUM,38336,71,21
2434,1992,IA,INDUSTRIAL COGEN,ALL SOURCES,3372494,24819,11189
2435,1992,IA,INDUSTRIAL COGEN,COAL,2995335,24772,10334
2436,1992,IA,INDUSTRIAL COGEN,NATURAL GAS,374777,2,846
2437,1992,IA,INDUSTRIAL COGEN,OTHER,1117,0,3
2438,1992,IA,INDUSTRIAL COGEN,PETROLEUM,1265,45,6
2439,1992,IA,IPP NAICS-22 COGEN,ALL SOURCES,320410,7811,1269
2440,1992,IA,IPP NAICS-22 COGEN,COAL,287334,7811,1206
2441,1992,IA,IPP NAICS-22 COGEN,NATURAL GAS,33076,0,64
2442,1992,IA,IPP NAICS-22 NON-COGEN,ALL SOURCES,403,0,5
2443,1992,IA,IPP NAICS-22 NON-COGEN,NATURAL GAS,0,0,5
2444,1992,IA,IPP NAICS-22 NON-COGEN,PETROLEUM,403,0,0
2445,1992,IA,TOTAL ELECTRIC POWER INDUSTRY,ALL SOURCES,30170297,190474,147817
2446,1992,IA,TOTAL ELECTRIC POWER INDUSTRY,COAL,29589797,190248,146443
2447,1992,IA,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,531206,2,1275
2448,1992,IA,TOTAL ELECTRIC POWER INDUSTRY,OTHER,1117,57,55
2449,1992,IA,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,48177,168,43
2450,1992,ID,ELECTRIC UTILITY,ALL SOURCES,77,0,0
2451,1992,ID,ELECTRIC UTILITY,PETROLEUM,77,0,0
2452,1992,ID,INDUSTRIAL COGEN,ALL SOURCES,651679,8732,3011
2453,1992,ID,INDUSTRIAL COGEN,COAL,316004,5526,1607
2454,1992,ID,INDUSTRIAL COGEN,NATURAL GAS,301578,1,544
2455,1992,ID,INDUSTRIAL COGEN,OTHER,28518,3204,852
2456,1992,ID,INDUSTRIAL COGEN,PETROLEUM,5579,1,8
2457,1992,ID,IPP NAICS-22 COGEN,OTHER,0,0,0
2458,1992,ID,TOTAL ELECTRIC POWER INDUSTRY,ALL SOURCES,651756,8732,3011
2459,1992,ID,TOTAL ELECTRIC POWER INDUSTRY,COAL,316004,5523,1552
2460,1992,ID,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,301578,1,525
2461,1992,ID,TOTAL ELECTRIC POWER INDUSTRY,OTHER,28518,3207,926
2462,1992,ID,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,5656,1,7
2463,1992,IL,COMMERCIAL COGEN,ALL SOURCES,100738,0,242
2464,1992,IL,COMMERCIAL COGEN,NATURAL GAS,100738,0,203
2465,1992,IL,COMMERCIAL COGEN,OTHER,0,0,39
2466,1992,IL,ELECTRIC UTILITY,ALL SOURCES,52909625,763702,284579
2467,1992,IL,ELECTRIC UTILITY,COAL,51288625,758738,282029
2468,1992,IL,ELECTRIC UTILITY,NATURAL GAS,501713,2,1246
2469,1992,IL,ELECTRIC UTILITY,PETROLEUM,1119287,4962,1305
2470,1992,IL,INDUSTRIAL COGEN,ALL SOURCES,5398865,47612,19013
2471,1992,IL,INDUSTRIAL COGEN,COAL,4281948,47434,16328
2472,1992,IL,INDUSTRIAL COGEN,NATURAL GAS,1041742,5,2457
2473,1992,IL,INDUSTRIAL COGEN,OTHER,59769,80,200
2474,1992,IL,INDUSTRIAL COGEN,PETROLEUM,15406,93,28
2475,1992,IL,INDUSTRIAL NON-COGEN,ALL SOURCES,24082,2,64
2476,1992,IL,INDUSTRIAL NON-COGEN,NATURAL GAS,23760,0,64
2477,1992,IL,INDUSTRIAL NON-COGEN,PETROLEUM,322,2,0
2478,1992,IL,IPP NAICS-22 COGEN,ALL SOURCES,6511,0,174
2479,1992,IL,IPP NAICS-22 COGEN,NATURAL GAS,6511,0,15
2480,1992,IL,IPP NAICS-22 COGEN,OTHER,0,0,159
2481,1992,IL,IPP NAICS-22 NON-COGEN,ALL SOURCES,0,0,726
2482,1992,IL,IPP NAICS-22 NON-COGEN,OTHER,0,0,726
2483,1992,IL,IPP NAICS-22 NON-COGEN,PETROLEUM,0,0,0
2484,1992,IL,TOTAL ELECTRIC POWER INDUSTRY,ALL SOURCES,58439821,811316,304798
2485,1992,IL,TOTAL ELECTRIC POWER INDUSTRY,COAL,55570573,806172,298312
2486,1992,IL,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,1674464,7,4023
2487,1992,IL,TOTAL ELECTRIC POWER INDUSTRY,OTHER,59769,80,1131
2488,1992,IL,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,1135015,5057,1332
2489,1992,IN,COMMERCIAL COGEN,ALL SOURCES,576555,5463,2132
2490,1992,IN,COMMERCIAL COGEN,COAL,257624,5338,1197
2491,1992,IN,COMMERCIAL COGEN,NATURAL GAS,19499,0,107
2492,1992,IN,COMMERCIAL COGEN,OTHER,294912,104,822
2493,1992,IN,COMMERCIAL COGEN,PETROLEUM,4520,21,6
2494,1992,IN,ELECTRIC UTILITY,ALL SOURCES,94002689,1120129,468348
2495,1992,IN,ELECTRIC UTILITY,COAL,93306815,1119081,466457
2496,1992,IN,ELECTRIC UTILITY,NATURAL GAS,413246,2,992
2497,1992,IN,ELECTRIC UTILITY,PETROLEUM,282628,1047,898
2498,1992,IN,INDUSTRIAL COGEN,ALL SOURCES,2655595,12048,7494
2499,1992,IN,INDUSTRIAL COGEN,COAL,1434219,12013,5448
2500,1992,IN,INDUSTRIAL COGEN,NATURAL GAS,624644,4,1272
2501,1992,IN,INDUSTRIAL COGEN,PETROLEUM,596732,32,775
2502,1992,IN,INDUSTRIAL NON-COGEN,ALL SOURCES,39320,0,93
2503,1992,IN,INDUSTRIAL NON-COGEN,NATURAL GAS,38763,0,93
2504,1992,IN,INDUSTRIAL NON-COGEN,PETROLEUM,557,0,1
2505,1992,IN,TOTAL ELECTRIC POWER INDUSTRY,ALL SOURCES,97274159,1137641,478067
2506,1992,IN,TOTAL ELECTRIC POWER INDUSTRY,COAL,94998658,1136432,473101
2507,1992,IN,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,1096152,5,2464
2508,1992,IN,TOTAL ELECTRIC POWER INDUSTRY,OTHER,294912,104,822
2509,1992,IN,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,884437,1100,1680
2510,1992,KS,ELECTRIC UTILITY,ALL SOURCES,24776490,59729,111448
2511,1992,KS,ELECTRIC UTILITY,COAL,24011246,59658,109486
2512,1992,KS,ELECTRIC UTILITY,NATURAL GAS,720488,2,1934
2513,1992,KS,ELECTRIC UTILITY,PETROLEUM,44756,69,27
2514,1992,KS,INDUSTRIAL COGEN,ALL SOURCES,234037,166,700
2515,1992,KS,INDUSTRIAL COGEN,NATURAL GAS,222898,1,650
2516,1992,KS,INDUSTRIAL COGEN,PETROLEUM,11139,165,50
2517,1992,KS,TOTAL ELECTRIC POWER INDUSTRY,ALL SOURCES,25010527,59895,112148
2518,1992,KS,TOTAL ELECTRIC POWER INDUSTRY,COAL,24011246,59658,109488
2519,1992,KS,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,943386,3,2583
2520,1992,KS,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,55895,234,77
2521,1992,KY,ELECTRIC UTILITY,ALL SOURCES,68861659,810639,308002
2522,1992,KY,ELECTRIC UTILITY,COAL,68763611,810490,307899
2523,1992,KY,ELECTRIC UTILITY,NATURAL GAS,14572,0,33
2524,1992,KY,ELECTRIC UTILITY,PETROLEUM,83476,149,70
2525,1992,KY,TOTAL ELECTRIC POWER INDUSTRY,ALL SOURCES,68861659,810639,308002
2526,1992,KY,TOTAL ELECTRIC POWER INDUSTRY,COAL,68763611,810490,307899
2527,1992,KY,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,14572,0,33
2528,1992,KY,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,83476,149,70
2529,1992,LA,COMMERCIAL COGEN,ALL SOURCES,46216,0,112
2530,1992,LA,COMMERCIAL COGEN,NATURAL GAS,46216,0,112
2531,1992,LA,ELECTRIC UTILITY,ALL SOURCES,35323824,121624,123550
2532,1992,LA,ELECTRIC UTILITY,COAL,20661106,98988,92150
2533,1992,LA,ELECTRIC UTILITY,NATURAL GAS,14125399,69,29738
2534,1992,LA,ELECTRIC UTILITY,PETROLEUM,537319,22567,1661
2535,1992,LA,INDUSTRIAL COGEN,ALL SOURCES,10416136,20768,25246
2536,1992,LA,INDUSTRIAL COGEN,COAL,178639,1321,564
2537,1992,LA,INDUSTRIAL COGEN,NATURAL GAS,10192846,49,18674
2538,1992,LA,INDUSTRIAL COGEN,OTHER,696,18986,5940
2539,1992,LA,INDUSTRIAL COGEN,PETROLEUM,43955,413,68
2540,1992,LA,INDUSTRIAL NON-COGEN,ALL SOURCES,41882,0,98
2541,1992,LA,INDUSTRIAL NON-COGEN,NATURAL GAS,41882,0,98
2542,1992,LA,IPP NAICS-22 COGEN,ALL SOURCES,828224,15379,1412
2543,1992,LA,IPP NAICS-22 COGEN,NATURAL GAS,287637,2,529
2544,1992,LA,IPP NAICS-22 COGEN,PETROLEUM,540587,15377,884
2545,1992,LA,IPP NAICS-22 NON-COGEN,ALL SOURCES,86476,1327,188
2546,1992,LA,IPP NAICS-22 NON-COGEN,NATURAL GAS,12440,0,29
2547,1992,LA,IPP NAICS-22 NON-COGEN,PETROLEUM,74036,1327,159
2548,1992,LA,TOTAL ELECTRIC POWER INDUSTRY,ALL SOURCES,46742758,159098,150606
2549,1992,LA,TOTAL ELECTRIC POWER INDUSTRY,COAL,20839745,100309,92714
2550,1992,LA,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,24706420,120,49181
2551,1992,LA,TOTAL ELECTRIC POWER INDUSTRY,OTHER,696,18986,5940
2552,1992,LA,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,1195897,39684,2771
2553,1992,MA,COMMERCIAL COGEN,ALL SOURCES,308800,621,396
2554,1992,MA,COMMERCIAL COGEN,NATURAL GAS,125317,1,238
2555,1992,MA,COMMERCIAL COGEN,PETROLEUM,183483,620,158
2556,1992,MA,COMMERCIAL NON-COGEN,ALL SOURCES,5329,4,26
2557,1992,MA,COMMERCIAL NON-COGEN,OTHER,0,0,24
2558,1992,MA,COMMERCIAL NON-COGEN,PETROLEUM,5329,4,2
2559,1992,MA,ELECTRIC UTILITY,ALL SOURCES,22665488,186650,61247
2560,1992,MA,ELECTRIC UTILITY,COAL,9859308,83862,39663
2561,1992,MA,ELECTRIC UTILITY,NATURAL GAS,2099574,10,4852
2562,1992,MA,ELECTRIC UTILITY,PETROLEUM,10706606,102778,16732
2563,1992,MA,INDUSTRIAL COGEN,ALL SOURCES,901927,2980,2287
2564,1992,MA,INDUSTRIAL COGEN,COAL,168843,894,663
2565,1992,MA,INDUSTRIAL COGEN,NATURAL GAS,224050,0,542
2566,1992,MA,INDUSTRIAL COGEN,OTHER,0,201,225
2567,1992,MA,INDUSTRIAL COGEN,PETROLEUM,509034,1885,858
2568,1992,MA,INDUSTRIAL NON-COGEN,ALL SOURCES,39,0,0
2569,1992,MA,INDUSTRIAL NON-COGEN,PETROLEUM,39,0,0
2570,1992,MA,IPP NAICS-22 COGEN,ALL SOURCES,2124313,342,3434
2571,1992,MA,IPP NAICS-22 COGEN,COAL,94284,263,367
2572,1992,MA,IPP NAICS-22 COGEN,NATURAL GAS,1966743,10,2906
2573,1992,MA,IPP NAICS-22 COGEN,OTHER,45716,20,151
2574,1992,MA,IPP NAICS-22 COGEN,PETROLEUM,17570,49,10
2575,1992,MA,IPP NAICS-22 NON-COGEN,ALL SOURCES,1120705,438,2597
2576,1992,MA,IPP NAICS-22 NON-COGEN,NATURAL GAS,58946,0,45
2577,1992,MA,IPP NAICS-22 NON-COGEN,OTHER,1053453,428,2545
2578,1992,MA,IPP NAICS-22 NON-COGEN,PETROLEUM,8306,10,7
2579,1992,MA,TOTAL ELECTRIC POWER INDUSTRY,ALL SOURCES,27126601,191034,69988
2580,1992,MA,TOTAL ELECTRIC POWER INDUSTRY,COAL,10122435,85020,40692
2581,1992,MA,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,4474630,21,8583
2582,1992,MA,TOTAL ELECTRIC POWER INDUSTRY,OTHER,1099169,648,2944
2583,1992,MA,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,11430367,105345,17768
2584,1992,MD,COMMERCIAL COGEN,ALL SOURCES,1338,1,6
2585,1992,MD,COMMERCIAL COGEN,OTHER,0,0,6
2586,1992,MD,COMMERCIAL COGEN,PETROLEUM,1338,1,0
2587,1992,MD,COMMERCIAL NON-COGEN,ALL SOURCES,0,0,74
2588,1992,MD,COMMERCIAL NON-COGEN,OTHER,0,0,74
2589,1992,MD,ELECTRIC UTILITY,ALL SOURCES,24556768,230058,90145
2590,1992,MD,ELECTRIC UTILITY,COAL,21386874,207187,84573
2591,1992,MD,ELECTRIC UTILITY,NATURAL GAS,641884,3,1393
2592,1992,MD,ELECTRIC UTILITY,PETROLEUM,2528010,22868,4179
2593,1992,MD,INDUSTRIAL COGEN,ALL SOURCES,994666,15427,3144
2594,1992,MD,INDUSTRIAL COGEN,COAL,918415,13527,2741
2595,1992,MD,INDUSTRIAL COGEN,NATURAL GAS,67414,0,113
2596,1992,MD,INDUSTRIAL COGEN,OTHER,0,1884,282
2597,1992,MD,INDUSTRIAL COGEN,PETROLEUM,8837,15,8
2598,1992,MD,IPP NAICS-22 COGEN,ALL SOURCES,708918,571,1542
2599,1992,MD,IPP NAICS-22 COGEN,NATURAL GAS,197732,1,459
2600,1992,MD,IPP NAICS-22 COGEN,OTHER,300970,557,704
2601,1992,MD,IPP NAICS-22 COGEN,PETROLEUM,210216,13,379
2602,1992,MD,IPP NAICS-22 NON-COGEN,ALL SOURCES,0,0,101
2603,1992,MD,IPP NAICS-22 NON-COGEN,OTHER,0,0,101
2604,1992,MD,TOTAL ELECTRIC POWER INDUSTRY,ALL SOURCES,26261690,246056,95013
2605,1992,MD,TOTAL ELECTRIC POWER INDUSTRY,COAL,22305289,220714,87314
2606,1992,MD,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,907030,4,1964
2607,1992,MD,TOTAL ELECTRIC POWER INDUSTRY,OTHER,300970,2441,1168
2608,1992,MD,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,2748401,22897,4567
2609,1992,ME,COMMERCIAL COGEN,ALL SOURCES,9921,4,29
2610,1992,ME,COMMERCIAL COGEN,OTHER,9921,4,29
2611,1992,ME,COMMERCIAL NON-COGEN,ALL SOURCES,86953,10,212
2612,1992,ME,COMMERCIAL NON-COGEN,OTHER,85009,10,210
2613,1992,ME,COMMERCIAL NON-COGEN,PETROLEUM,1944,0,2
2614,1992,ME,ELECTRIC UTILITY,ALL SOURCES,1104933,6754,1428
2615,1992,ME,ELECTRIC UTILITY,PETROLEUM,1104933,6754,1428
2616,1992,ME,INDUSTRIAL COGEN,ALL SOURCES,2810834,13856,9379
2617,1992,ME,INDUSTRIAL COGEN,COAL,530305,3696,1615
2618,1992,ME,INDUSTRIAL COGEN,NATURAL GAS,0,0,43
2619,1992,ME,INDUSTRIAL COGEN,OTHER,74129,8596,3960
2620,1992,ME,INDUSTRIAL COGEN,PETROLEUM,2206400,1565,3762
2621,1992,ME,IPP NAICS-22 COGEN,ALL SOURCES,573539,569,2802
2622,1992,ME,IPP NAICS-22 COGEN,COAL,563540,408,2365
2623,1992,ME,IPP NAICS-22 COGEN,OTHER,0,161,419
2624,1992,ME,IPP NAICS-22 COGEN,PETROLEUM,9999,0,18
2625,1992,ME,IPP NAICS-22 NON-COGEN,ALL SOURCES,146407,423,1108
2626,1992,ME,IPP NAICS-22 NON-COGEN,NATURAL GAS,6777,0,13
2627,1992,ME,IPP NAICS-22 NON-COGEN,OTHER,137293,415,1093
2628,1992,ME,IPP NAICS-22 NON-COGEN,PETROLEUM,2337,8,1
2629,1992,ME,TOTAL ELECTRIC POWER INDUSTRY,ALL SOURCES,4732587,21615,14959
2630,1992,ME,TOTAL ELECTRIC POWER INDUSTRY,COAL,1093845,4101,3916
2631,1992,ME,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,6777,0,59
2632,1992,ME,TOTAL ELECTRIC POWER INDUSTRY,OTHER,306352,9193,5855
2633,1992,ME,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,3325613,8321,5129
2634,1992,MI,COMMERCIAL COGEN,ALL SOURCES,730079,3402,2210
2635,1992,MI,COMMERCIAL COGEN,COAL,378584,2800,1297
2636,1992,MI,COMMERCIAL COGEN,NATURAL GAS,49458,0,105
2637,1992,MI,COMMERCIAL COGEN,OTHER,296291,585,804
2638,1992,MI,COMMERCIAL COGEN,PETROLEUM,5746,17,4
2639,1992,MI,ELECTRIC UTILITY,ALL SOURCES,60642377,314040,269481
2640,1992,MI,ELECTRIC UTILITY,COAL,58765349,311589,267185
2641,1992,MI,ELECTRIC UTILITY,NATURAL GAS,1340909,4,1492
2642,1992,MI,ELECTRIC UTILITY,PETROLEUM,536119,2448,804
2643,1992,MI,INDUSTRIAL COGEN,ALL SOURCES,2654984,31942,11216
2644,1992,MI,INDUSTRIAL COGEN,COAL,1734325,20216,7246
2645,1992,MI,INDUSTRIAL COGEN,NATURAL GAS,607422,2,2058
2646,1992,MI,INDUSTRIAL COGEN,OTHER,0,3896,1109
2647,1992,MI,INDUSTRIAL COGEN,PETROLEUM,313237,7828,802
2648,1992,MI,INDUSTRIAL NON-COGEN,ALL SOURCES,208137,4413,3210
2649,1992,MI,INDUSTRIAL NON-COGEN,COAL,130919,4413,2451
2650,1992,MI,INDUSTRIAL NON-COGEN,NATURAL GAS,77218,1,759
2651,1992,MI,IPP NAICS-22 COGEN,ALL SOURCES,4281242,463,7968
2652,1992,MI,IPP NAICS-22 COGEN,COAL,515773,391,1809
2653,1992,MI,IPP NAICS-22 COGEN,NATURAL GAS,3754549,19,6153
2654,1992,MI,IPP NAICS-22 COGEN,PETROLEUM,10920,53,5
2655,1992,MI,IPP NAICS-22 NON-COGEN,ALL SOURCES,92087,38,812
2656,1992,MI,IPP NAICS-22 NON-COGEN,NATURAL GAS,915,0,1
2657,1992,MI,IPP NAICS-22 NON-COGEN,OTHER,91172,38,811
2658,1992,MI,TOTAL ELECTRIC POWER INDUSTRY,ALL SOURCES,68608906,354298,294896
2659,1992,MI,TOTAL ELECTRIC POWER INDUSTRY,COAL,61524950,339391,279823
2660,1992,MI,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,5830471,25,10564
2661,1992,MI,TOTAL ELECTRIC POWER INDUSTRY,OTHER,387463,4538,2895
2662,1992,MI,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,866022,10344,1614
2663,1992,MN,COMMERCIAL COGEN,ALL SOURCES,130116,69,315
2664,1992,MN,COMMERCIAL COGEN,NATURAL GAS,98614,0,237
2665,1992,MN,COMMERCIAL COGEN,OTHER,27017,46,72
2666,1992,MN,COMMERCIAL COGEN,PETROLEUM,4485,23,6
2667,1992,MN,COMMERCIAL NON-COGEN,ALL SOURCES,51,0,0
2668,1992,MN,COMMERCIAL NON-COGEN,PETROLEUM,51,0,0
2669,1992,MN,ELECTRIC UTILITY,ALL SOURCES,28188194,70717,146982
2670,1992,MN,ELECTRIC UTILITY,COAL,27288314,70088,145000
2671,1992,MN,ELECTRIC UTILITY,NATURAL GAS,262787,1,630
2672,1992,MN,ELECTRIC UTILITY,OTHER,0,610,1340
2673,1992,MN,ELECTRIC UTILITY,PETROLEUM,637093,18,13
2674,1992,MN,INDUSTRIAL COGEN,ALL SOURCES,2720020,33443,11455
2675,1992,MN,INDUSTRIAL COGEN,COAL,2210905,26299,8165
2676,1992,MN,INDUSTRIAL COGEN,NATURAL GAS,484745,2,1174
2677,1992,MN,INDUSTRIAL COGEN,OTHER,0,7088,2075
2678,1992,MN,INDUSTRIAL COGEN,PETROLEUM,24370,54,40
2679,1992,MN,INDUSTRIAL NON-COGEN,ALL SOURCES,0,0,1
2680,1992,MN,INDUSTRIAL NON-COGEN,NATURAL GAS,0,0,1
2681,1992,MN,INDUSTRIAL NON-COGEN,PETROLEUM,0,0,0
2682,1992,MN,IPP NAICS-22 NON-COGEN,ALL SOURCES,162714,28,357
2683,1992,MN,IPP NAICS-22 NON-COGEN,OTHER,162714,28,357
2684,1992,MN,TOTAL ELECTRIC POWER INDUSTRY,ALL SOURCES,31201095,104257,159109
2685,1992,MN,TOTAL ELECTRIC POWER INDUSTRY,COAL,29499219,96376,153102
2686,1992,MN,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,846146,3,2064
2687,1992,MN,TOTAL ELECTRIC POWER INDUSTRY,OTHER,189731,7783,3883
2688,1992,MN,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,665999,95,60
2689,1992,MO,COMMERCIAL COGEN,ALL SOURCES,322284,11078,1336
2690,1992,MO,COMMERCIAL COGEN,COAL,322076,11074,1325
2691,1992,MO,COMMERCIAL COGEN,NATURAL GAS,203,0,10
2692,1992,MO,COMMERCIAL COGEN,PETROLEUM,5,4,1
2693,1992,MO,ELECTRIC UTILITY,ALL SOURCES,46599074,604417,252635
2694,1992,MO,ELECTRIC UTILITY,COAL,46382862,600645,251887
2695,1992,MO,ELECTRIC UTILITY,NATURAL GAS,125848,0,324
2696,1992,MO,ELECTRIC UTILITY,PETROLEUM,90364,3771,424
2697,1992,MO,INDUSTRIAL COGEN,ALL SOURCES,562603,8271,2558
2698,1992,MO,INDUSTRIAL COGEN,COAL,510125,8267,2393
2699,1992,MO,INDUSTRIAL COGEN,NATURAL GAS,51343,0,164
2700,1992,MO,INDUSTRIAL COGEN,PETROLEUM,1135,4,1
2701,1992,MO,TOTAL ELECTRIC POWER INDUSTRY,ALL SOURCES,47483961,623765,256529
2702,1992,MO,TOTAL ELECTRIC POWER INDUSTRY,COAL,47215063,619987,255606
2703,1992,MO,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,177394,0,498
2704,1992,MO,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,91504,3778,425
2705,1992,MS,COMMERCIAL COGEN,ALL SOURCES,19597,0,46
2706,1992,MS,COMMERCIAL COGEN,NATURAL GAS,19597,0,46
2707,1992,MS,ELECTRIC UTILITY,ALL SOURCES,10853872,90458,36147
2708,1992,MS,ELECTRIC UTILITY,COAL,7564942,85208,28751
2709,1992,MS,ELECTRIC UTILITY,NATURAL GAS,2960451,14,6830
2710,1992,MS,ELECTRIC UTILITY,PETROLEUM,328479,5236,566
2711,1992,MS,INDUSTRIAL COGEN,ALL SOURCES,1161410,15555,6566
2712,1992,MS,INDUSTRIAL COGEN,COAL,89965,693,280
2713,1992,MS,INDUSTRIAL COGEN,NATURAL GAS,973759,5,2194
2714,1992,MS,INDUSTRIAL COGEN,OTHER,0,14546,3983
2715,1992,MS,INDUSTRIAL COGEN,PETROLEUM,97686,311,109
2716,1992,MS,TOTAL ELECTRIC POWER INDUSTRY,ALL SOURCES,12034879,106013,42759
2717,1992,MS,TOTAL ELECTRIC POWER INDUSTRY,COAL,7654907,85901,29018
2718,1992,MS,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,3953807,18,9072
2719,1992,MS,TOTAL ELECTRIC POWER INDUSTRY,OTHER,0,14546,3994
2720,1992,MS,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,426165,5547,675
2721,1992,MT,ELECTRIC UTILITY,ALL SOURCES,17974278,20020,82173
2722,1992,MT,ELECTRIC UTILITY,COAL,17945201,20019,82138
2723,1992,MT,ELECTRIC UTILITY,NATURAL GAS,14081,0,28
2724,1992,MT,ELECTRIC UTILITY,PETROLEUM,14996,1,6
2725,1992,MT,INDUSTRIAL COGEN,ALL SOURCES,72263,979,451
2726,1992,MT,INDUSTRIAL COGEN,NATURAL GAS,65640,0,152
2727,1992,MT,INDUSTRIAL COGEN,OTHER,0,958,292
2728,1992,MT,INDUSTRIAL COGEN,PETROLEUM,6623,21,6
2729,1992,MT,IPP NAICS-22 NON-COGEN,ALL SOURCES,403275,3,1794
2730,1992,MT,IPP NAICS-22 NON-COGEN,COAL,402765,3,1794
2731,1992,MT,IPP NAICS-22 NON-COGEN,PETROLEUM,510,0,0
2732,1992,MT,TOTAL ELECTRIC POWER INDUSTRY,ALL SOURCES,18449816,21001,84417
2733,1992,MT,TOTAL ELECTRIC POWER INDUSTRY,COAL,18347966,20022,83931
2734,1992,MT,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,79721,0,181
2735,1992,MT,TOTAL ELECTRIC POWER INDUSTRY,OTHER,0,957,293
2736,1992,MT,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,22129,22,13
2737,1992,NC,COMMERCIAL COGEN,ALL SOURCES,158600,215,505
2738,1992,NC,COMMERCIAL COGEN,COAL,154503,215,498
2739,1992,NC,COMMERCIAL COGEN,NATURAL GAS,4077,0,7
2740,1992,NC,COMMERCIAL COGEN,PETROLEUM,20,0,0
2741,1992,NC,ELECTRIC UTILITY,ALL SOURCES,49126704,334175,201361
2742,1992,NC,ELECTRIC UTILITY,COAL,48819160,334031,200849
2743,1992,NC,ELECTRIC UTILITY,NATURAL GAS,173814,1,400
